# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
231		129797		12369741		47737
232		129669		12422002		47840
233		129740		12474412		47800
234		129562		12526787		47834
235		129589		12579200		47808
236		129396		12631581		47814
237		129375		12684001		47794
238		129359		12736370		47789
239		129445		12788667		47811
240		129410		12840918		47780
241		129308		12893143		47805
242		129236		12945384		47813
243		129170		12997654		47827
244		129078		13050251		47811
245		129176		13102530		47815
246		128991		13154768		47806
247		128908		13207074		47758
248		128651		13259216		47776
249		128513		13311415		47755
250		128300		13363773		47757
251		128332		13415981		47749
252		128306		13468219		47740
253		128086		13520309		47746
254		127899		13572539		47776
255		127917		13624770		47803
256		127750		13676789		47834
257		127755		13728959		47837
258		127795		13781108		47828
259		127781		13833264		47814
260		127815		13885315		47831
261		127827		13937621		47817
262		127642		13989761		47820
263		127596		14041943		47802
264		127532		14093905		47815
265		127432		14145950		47809
266		127321		14198020		47834
267		127318		14250122		47815
268		127236		14302078		47799
269		127120		14354035		47784
270		127119		14406165		47775
271		127123		14458193		47772
272		127029		14510252		47783
273		126952		14562400		47777
274		126884		14614614		47770
275		126820		14666580		47791
276		126737		14718644		47814
277		126739		14770627		47830
278		126685		14822631		47813
279		126579		14874678		47804
280		126568		14926528		47800
281		126562		14978662		47796
282		126551		15030729		47779
283		126576		15082628		47791
284		126523		15134694		47783
285		126438		15186741		47761
286		126418		15238935		47765
287		126363		15291065		47767
288		126385		15343101		47781
289		126322		15395041		47767
290		126304		15447039		47758
291		125551		15499067		47738
292		124960		15551117		47721
293		124505		15603212		47758
294		124238		15655089		47789
295		124109		15707212		47781
296		124005		15759044		47785
297		123895		15811001		47781
298		123786		15862930		47776
299		123771		15914711		47793
300		123717		15966765		47804
301		123620		16018802		47818
302		123497		16070688		47812
303		123435		16122616		47828
304		123406		16174229		47810
305		123380		16226027		47806
306		123304		16277721		47786
307		123260		16329704		47776
308		123273		16381624		47786
309		123245		16433462		47791
310		123151		16485378		47804
311		123102		16537272		47817
312		123092		16589180		47794
313		123012		16641032		47816
314		122968		16692902		47798
315		122958		16744731		47802
316		122924		16796535		47778
317		122920		16848297		47783
318		122910		16899888		47758
319		122909		16951665		47779
320		122874		17003536		47784
321		122842		17055498		47782
322		122777		17107362		47797
323		122738		17159287		47810
324		122707		17211047		47791
325		122693		17262977		47812
326		122668		17314856		47788
327		122632		17366602		47771
328		122605		17418330		47783
329		122594		17470107		47785
330		122577		17521849		47789
331		122552		17573829		47788
332		122526		17625682		47810
333		122510		17677474		47798
334		122461		17677539		47805
335		122438		17677588		47810
336		122415		17677615		47807
337		122401		17677655		47810
338		122378		17677685		47816
339		122369		17677700		47817
340		122364		17677721		47820
341		122361		17677734		47818
342		122350		17677753		47819
343		122349		17677764		47823
344		122333		17677790		47824
345		122317		17677813		47826
346		122315		17677822		47828
347		122305		17677843		47833
348		122299		17677857		47839
349		122285		17677870		47841
350		122275		17677885		47838
351		122268		17677897		47841
352		122265		17677903		47840
353		122263		17677908		47842
354		122262		17677921		47843
355		122260		17677929		47840
356		122260		17677935		47839
357		122256		17677941		47843
358		122250		17677948		47839
359		122248		17677953		47837
360		122246		17677958		47840
361		122245		17677966		47836
362		122243		17677968		47836
363		122238		17677974		47837
364		122235		17677980		47837
365		122232		17677982		47836
366		122231		17677984		47836
367		122225		17677992		47835
368		122221		17678001		47835
369		122222		17678007		47837
370		122221		17678011		47839
371		122217		17678015		47835
372		122213		17678019		47838
373		122208		17678026		47838
374		122208		17678026		47838
375		122208		17678030		47838
376		122208		17678034		47839
377		122208		17678036		47838
378		122203		17678044		47839
379		122200		17678049		47840
380		122198		17678052		47837
381		122196		17678053		47835
382		122196		17678055		47835
383		122194		17678057		47836
384		122194		17678057		47836
385		122193		17678059		47835
386		122194		17678061		47833
387		122188		17678066		47831
388		122187		17678067		47831
389		122188		17678069		47831
390		122188		17678069		47831
391		122189		17678070		47829
392		122189		17678070		47829
393		122188		17678071		47829
394		122187		17678074		47827
395		122185		17678075		47827
396		122183		17678077		47827
397		122180		17678079		47826
398		122180		17678080		47825
399		122177		17678083		47827
400		122176		17678084		47827
401		122173		17678088		47827
402		122170		17678090		47829
403		122168		17678092		47831
404		122165		17678097		47832
405		122164		17678098		47831
406		122163		17678099		47831
407		122163		17678100		47831
408		122163		17678103		47833
409		122162		17678104		47835
410		122158		17678108		47833
411		122157		17678112		47831
412		122153		17678115		47830
413		122153		17678115		47830
414		122153		17678117		47831
415		122151		17678119		47831
416		122152		17678121		47830
417		122151		17678122		47830
418		122149		17678124		47830
419		122149		17678124		47830
420		122149		17678124		47830
421		122145		17678128		47830
422		122145		17678128		47830
423		122143		17678133		47826
424		122142		17678134		47826
425		122142		17678134		47826
426		122141		17678135		47828
427		122140		17678136		47829
428		122138		17678138		47828
429		122137		17678140		47827
430		122136		17678141		47827
431		122135		17678142		47827
432		122134		17678144		47828
433		122133		17678146		47828
434		122133		17678146		47828
435		122130		17678148		47828
436		122129		17678149		47827
437		122126		17678152		47825
438		122125		17678153		47824
439		122124		17678154		47824
440		122123		17678155		47824
441		122124		17678156		47823
442		122124		17678156		47823
443		122122		17678157		47822
444		122122		17678157		47822
445		122122		17678157		47822
446		122121		17678158		47822
447		122122		17678159		47822
448		122120		17678161		47821
449		122118		17678162		47821
450		122117		17678163		47822
451		122117		17678163		47822
452		122116		17678164		47822
453		122116		17678166		47821
454		122116		17678166		47821
455		122115		17678167		47821
456		122116		17678168		47819
457		122116		17678168		47819
458		122114		17678170		47817
459		122114		17678171		47818
460		122114		17678171		47818
461		122114		17678171		47818
462		122112		17678173		47819
463		122111		17678174		47818
464		122111		17678174		47818
465		122110		17678175		47818
466		122107		17678178		47818
467		122108		17678182		47818
468		122108		17678182		47818
469		122108		17678182		47818
470		122108		17678182		47818
471		122108		17678182		47818
472		122108		17678182		47818
473		122108		17678182		47818
474		122108		17678182		47818
475		122108		17678182		47818
476		122108		17678182		47818
477		122108		17678184		47816
478		122108		17678184		47816
479		122108		17678184		47816
480		122108		17678184		47816
481		122106		17678185		47815
482		122106		17678185		47815
483		122106		17678185		47815
484		122106		17678185		47815
485		122105		17678186		47816
486		122104		17678187		47815
487		122103		17678188		47817
488		122102		17678189		47818
489		122103		17678190		47819
490		122103		17678190		47819
491		122102		17678191		47820
492		122102		17678191		47820
493		122102		17678191		47820
494		122102		17678191		47820
495		122102		17678191		47820
496		122102		17678191		47820
497		122099		17678193		47819
498		122099		17678193		47819
499		122099		17678193		47819
500		122099		17678193		47819
501		122099		17678193		47819
502		122099		17678193		47819
503		122099		17678193		47819
504		122099		17678193		47819
505		122098		17678194		47818
506		122098		17678194		47818
507		122098		17678194		47818
508		122098		17678194		47818
509		122098		17678194		47818
510		122098		17678194		47818
511		122097		17678195		47818
512		122097		17678195		47818
513		122097		17678195		47818
514		122097		17678195		47818
515		122096		17678196		47819
516		122096		17678196		47819
517		122095		17678197		47818
518		122096		17678198		47818
519		122096		17678198		47818
520		122096		17678198		47818
521		122096		17678198		47818
522		122095		17678199		47818
523		122095		17678199		47818
524		122095		17678199		47818
525		122095		17678199		47818
526		122095		17678199		47818
527		122095		17678199		47818
528		122095		17678199		47818
529		122094		17678200		47818
530		122094		17678200		47818
531		122095		17678201		47816
532		122095		17678201		47816
533		122095		17678201		47816
534		122094		17678202		47815
535		122093		17678203		47815
536		122092		17678204		47815
537		122092		17678204		47815
538		122092		17678204		47815
539		122092		17678204		47815
540		122092		17678204		47815
541		122092		17678204		47815
542		122091		17678205		47815
543		122090		17678206		47814
544		122090		17678206		47814
545		122090		17678206		47814
546		122090		17678206		47814
547		122090		17678206		47814
548		122089		17678207		47814
549		122089		17678207		47814
550		122089		17678207		47814
551		122089		17678207		47814
552		122089		17678207		47814
553		122086		17678210		47814
554		122086		17678210		47814
555		122086		17678210		47814
556		122085		17678211		47813
557		122085		17678211		47813
558		122085		17678211		47813
559		122085		17678211		47813
560		122085		17678211		47813
561		122085		17678211		47813
562		122085		17678211		47813
563		122084		17678213		47813
564		122084		17678213		47813
565		122085		17678214		47813
566		122085		17678214		47813
567		122086		17678215		47813
568		122086		17678215		47813
569		122086		17678215		47813
570		122086		17678215		47813
571		122086		17678215		47813
572		122086		17678215		47813
573		122086		17678215		47813
574		122086		17678215		47813
575		122086		17678215		47813
576		122086		17678215		47813
577		122086		17678215		47813
578		122086		17678215		47813
579		122085		17678216		47812
580		122085		17678216		47812
581		122085		17678216		47812
582		122085		17678216		47812
583		122086		17678217		47811
584		122086		17678217		47811
585		122086		17678217		47811
586		122086		17678217		47811
587		122086		17678217		47811
588		122086		17678217		47811
589		122086		17678217		47811
590		122086		17678217		47811
591		122086		17678217		47811
592		122086		17678217		47811
593		122086		17678217		47811
594		122086		17678217		47811
595		122086		17678217		47811
596		122086		17678217		47811
597		122086		17678217		47811
598		122086		17678217		47811
599		122086		17678217		47811
600		122085		17678218		47812
601		122085		17678218		47812
602		122084		17678219		47811
603		122084		17678219		47811
604		122084		17678219		47811
605		122084		17678219		47811
606		122084		17678219		47811
607		122084		17678219		47811
608		122083		17678220		47812
609		122082		17678221		47813
610		122081		17678222		47813
611		122081		17678222		47813
612		122081		17678222		47813
613		122081		17678222		47813
614		122081		17678222		47813
615		122081		17678222		47813
616		122081		17678222		47813
617		122081		17678222		47813
618		122081		17678222		47813
619		122081		17678222		47813
620		122081		17678222		47813
621		122080		17678223		47813
