iteration,M,triangles,time
0,1000,1610802.5964004,15.693167924880981
1,1000,1530014.1561901912,15.5816330909729
2,1000,1622449.023851852,15.578299045562744
3,1000,1510356.6841461463,15.602267980575562
4,1000,1807429.7611571595,15.642767906188965
0,5000,1669676.1081449124,83.99906420707703
1,5000,1522507.4514883023,84.34888911247253
2,5000,1573935.419558557,85.04119110107422
3,5000,1557278.6466751774,86.22819399833679
4,5000,1578083.353878542,85.94435381889343
0,10000,1553600.6647426367,153.5229468345642
1,10000,1592534.3479546169,153.2725658416748
2,10000,1601102.9754351955,154.46068501472473
3,10000,1566774.688251302,154.27097392082214
4,10000,1542999.2762251936,153.67056894302368
