# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		8152		3833		3087
1		6910		6560		3147
2		6060		8665		3182
3		5449		10276		3175
4		5041		11682		3184
5		4721		12820		3203
6		4367		13836		3199
7		4130		14779		3205
8		3939		15613		3205
9		3734		16310		3215
10		3607		16961		3235
11		3487		17513		3239
12		3342		18013		3235
13		3259		18474		3247
14		3158		18880		3231
15		3117		19241		3248
16		3050		19615		3254
17		2994		19957		3242
18		2958		20295		3232
19		2893		20622		3226
20		2833		20923		3231
21		2802		21195		3233
22		2762		21434		3232
23		2706		21708		3243
24		2669		21925		3260
25		2639		22167		3251
26		2604		22381		3263
27		2567		22596		3257
28		2551		22761		3252
29		2535		22919		3244
30		2507		23110		3250
31		2469		23278		3256
32		2449		23435		3252
33		2440		23540		3250
34		2424		23674		3254
35		2416		23798		3261
36		2392		23954		3253
37		2385		24094		3262
38		2367		24235		3254
39		2365		24381		3262
40		2350		24526		3264
41		2353		24639		3257
42		2332		24781		3263
43		2317		24941		3262
44		2304		25089		3257
45		2294		25250		3256
46		2273		25383		3262
47		2269		25514		3278
48		2262		25637		3269
49		2260		25768		3272
50		2253		25893		3262
51		2249		26014		3256
52		2238		26137		3262
53		2229		26252		3275
54		2218		26361		3279
55		2208		26475		3282
56		2219		26584		3273
57		2195		26698		3276
58		2193		26807		3280
59		2170		26908		3287
60		2168		26996		3286
61		2151		27088		3291
62		2133		27162		3297
63		2126		27257		3296
64		2127		27347		3299
65		2105		27425		3292
66		2081		27489		3295
67		2082		27548		3290
68		2075		27630		3294
69		2059		27693		3297
70		2059		27743		3303
71		2054		27790		3301
72		2057		27845		3306
73		2048		27900		3299
74		2044		27945		3300
75		2048		28002		3302
76		2040		28064		3294
77		2038		28114		3306
78		2029		28160		3298
79		2030		28214		3302
80		2030		28258		3308
81		2022		28311		3300
82		2032		28363		3296
83		2018		28419		3285
84		2015		28473		3287
85		2001		28516		3295
86		1995		28549		3295
87		2007		28606		3298
88		2002		28665		3297
89		1994		28712		3298
90		1986		28743		3303
91		1981		28767		3300
92		1980		28787		3297
93		1976		28813		3303
94		1976		28832		3301
95		1977		28861		3301
96		1966		28888		3302
97		1966		28899		3304
98		1972		28922		3306
99		1974		28934		3305
100		1976		28962		3300
101		1977		28999		3300
