alexa@Alex MINGW64 /C/Users/alexa/OneDrive/KTH grejer/ID2222 Data Mining/Lab assignments/Lab 5
$ ./run.sh -graph ./graphs/add20.graph
2023-12-09 19:33:38 INFO  GraphReader:54 - ./graphs/add20.graph. Nodes: 2395, Edges: 7462
2023-12-09 19:33:38 INFO  GraphReader:145 - Color Distribution : [ Color: 0, Count: 598 ] [ Color: 1, Count: 599 ] [ Color: 2, Count: 599 ] [ Color: 3, Count: 599 ]
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 0, edge cut:4500, swaps: 2258, migrations: 1065
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 1, edge cut:3689, swaps: 4352, migrations: 1229
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 2, edge cut:3493, swaps: 6328, migrations: 1367
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 3, edge cut:3393, swaps: 8197, migrations: 1409
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 4, edge cut:3306, swaps: 10041, migrations: 1479
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 5, edge cut:3218, swaps: 11823, migrations: 1509
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 6, edge cut:3138, swaps: 13577, migrations: 1526
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 7, edge cut:3078, swaps: 15264, migrations: 1561
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 8, edge cut:3048, swaps: 16912, migrations: 1569
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 9, edge cut:2999, swaps: 18533, migrations: 1576
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 10, edge cut:2935, swaps: 20121, migrations: 1584
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 11, edge cut:2886, swaps: 21682, migrations: 1596
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 12, edge cut:2855, swaps: 23202, migrations: 1606
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 13, edge cut:2808, swaps: 24707, migrations: 1623
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 14, edge cut:2773, swaps: 26163, migrations: 1630
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 15, edge cut:2762, swaps: 27593, migrations: 1635
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 16, edge cut:2725, swaps: 29019, migrations: 1632
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 17, edge cut:2698, swaps: 30411, migrations: 1636
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 18, edge cut:2662, swaps: 31770, migrations: 1619
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 19, edge cut:2645, swaps: 33104, migrations: 1633
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 20, edge cut:2614, swaps: 34413, migrations: 1643
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 21, edge cut:2602, swaps: 35726, migrations: 1646
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 22, edge cut:2583, swaps: 37010, migrations: 1642
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 23, edge cut:2567, swaps: 38283, migrations: 1637
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 24, edge cut:2563, swaps: 39525, migrations: 1647
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 25, edge cut:2531, swaps: 40762, migrations: 1649
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 26, edge cut:2523, swaps: 41964, migrations: 1649
2023-12-09 19:33:38 INFO  Jabeja:293 - round: 27, edge cut:2491, swaps: 43164, migrations: 1643
