n_documents,time
20,0.33542490005493164
30,0.4947633743286133
40,0.7178280353546143
50,0.9976305961608887
60,1.3028614521026611
70,1.7120347023010254
80,2.1693074703216553
90,2.739323616027832
100,3.33034348487854
110,4.142214298248291
120,4.744969129562378
130,5.306053161621094
140,6.05421781539917
150,7.46889066696167
160,8.326799869537354
170,9.709247827529907
180,11.017909288406372
190,12.160984754562378
200,13.478596687316895
210,14.822900533676147
220,16.82752251625061
230,18.73393177986145
240,20.78870987892151
250,22.829484462738037
260,24.36834740638733
270,27.5290207862854
280,30.995890378952026
290,33.64472961425781
300,36.577613830566406
310,40.581134557724
320,44.60962104797363
330,51.07650303840637
340,55.91066122055054
350,59.542236328125
360,64.44716048240662
370,68.07023429870605
380,74.15265035629272
390,79.03319144248962
